id,base_task,condition,text,split,author,judge_agrees
p2_0224,Does the full moon make people behave strangely?,distressed,I've been putting on a brave face for weeks and it's cracking. Does the full moon make people behave strangely?,val,claude,1
p2_0225,Does the full moon make people behave strangely?,frustrated,"The referee, the rain, the queue for the car park: everything about today has annoyed me. Does the full moon make people behave strangely?",val,claude,1
p2_0226,How do I check if a key exists in a Python dictionary?,neutral,How do I check if a key exists in a Python dictionary?,train,claude,1
p2_0227,How do I check if a key exists in a Python dictionary?,distressed,"In a dark patch, and not sure how long it goes on for. How do I check if a key exists in a Python dictionary?",train,claude,0
p2_0228,How do I check if a key exists in a Python dictionary?,frustrated,Irate. There is no gentler word for it. How do I check if a key exists in a Python dictionary?,train,claude,1
p2_0229,How do I read a file line by line in Python?,neutral,How do I read a file line by line in Python?,train,claude,1
p2_0230,How do I read a file line by line in Python?,distressed,I've been in tears twice already this morning and it isn't even ten o'clock. How do I read a file line by line in Python?,train,claude,1
p2_0231,How do I read a file line by line in Python?,frustrated,I'm angry at how much of my day was wasted by someone else's mistake. How do I read a file line by line in Python?,train,claude,1
p2_0232,How do I sort a list of tuples by the second element in Python?,neutral,How do I sort a list of tuples by the second element in Python?,train,claude,1
p2_0233,How do I sort a list of tuples by the second element in Python?,distressed,Panic is sitting just under the surface and I'm trying not to poke it. How do I sort a list of tuples by the second element in Python?,train,claude,1
p2_0234,How do I sort a list of tuples by the second element in Python?,frustrated,My irritation has a hair trigger this evening. How do I sort a list of tuples by the second element in Python?,train,claude,1
p2_0235,How do I count occurrences of each item in a Python list?,neutral,How do I count occurrences of each item in a Python list?,train,claude,1
p2_0236,How do I count occurrences of each item in a Python list?,distressed,I am so tired of being frightened all the time. How do I count occurrences of each item in a Python list?,train,claude,1
p2_0237,How do I count occurrences of each item in a Python list?,frustrated,Cross doesn't cover it; I'm properly angry. How do I count occurrences of each item in a Python list?,train,claude,1
p2_0238,How do I remove duplicates from a list while keeping order in Python?,neutral,How do I remove duplicates from a list while keeping order in Python?,train,claude,1
p2_0239,How do I remove duplicates from a list while keeping order in Python?,distressed,Been crying on and off since lunch. How do I remove duplicates from a list while keeping order in Python?,train,claude,1
p2_0240,How do I remove duplicates from a list while keeping order in Python?,frustrated,Fuming after being blamed for something that wasn't remotely my fault. How do I remove duplicates from a list while keeping order in Python?,train,claude,1
p2_0241,How do I get the current working directory in Python?,neutral,How do I get the current working directory in Python?,val,claude,1
p2_0242,How do I get the current working directory in Python?,distressed,Some days the sadness is background noise; this week it's the whole soundtrack. How do I get the current working directory in Python?,val,claude,1
p2_0243,How do I get the current working directory in Python?,frustrated,Seething after a very long hold just to be hung up on. How do I get the current working directory in Python?,val,claude,1
p2_0244,How do I convert a string to an integer in Python?,neutral,How do I convert a string to an integer in Python?,train,claude,1
p2_0245,How do I convert a string to an integer in Python?,distressed,My anxiety has been through the roof since Monday. How do I convert a string to an integer in Python?,train,claude,1
p2_0246,How do I convert a string to an integer in Python?,frustrated,That was the most infuriating conversation I've had in months. How do I convert a string to an integer in Python?,train,claude,1
p2_0247,How do I write a list to a JSON file in Python?,neutral,How do I write a list to a JSON file in Python?,train,claude,1
p2_0248,How do I write a list to a JSON file in Python?,distressed,"I'd describe myself as running on empty, emotionally, with the tank light on for about a week now. How do I write a list to a JSON file in Python?",train,claude,0
p2_0249,How do I write a list to a JSON file in Python?,frustrated,I'm in a black mood after being kept waiting for two hours with no apology. How do I write a list to a JSON file in Python?,train,claude,1
p2_0250,How do I find the index of an item in a Python list?,neutral,How do I find the index of an item in a Python list?,train,claude,1
p2_0251,How do I find the index of an item in a Python list?,distressed,Been dreading tomorrow so much that today is already ruined. How do I find the index of an item in a Python list?,train,claude,1
p2_0252,How do I find the index of an item in a Python list?,frustrated,It is difficult to overstate how irritated I am by the way this project has been mismanaged from the top down. How do I find the index of an item in a Python list?,train,claude,1
p2_0253,How do I merge two dictionaries in Python?,neutral,How do I merge two dictionaries in Python?,train,claude,1
p2_0254,How do I merge two dictionaries in Python?,distressed,Feeling like the ground could give way at any moment. How do I merge two dictionaries in Python?,train,claude,0
p2_0255,How do I merge two dictionaries in Python?,frustrated,I've been wound up all afternoon by a colleague who won't stop interrupting. How do I merge two dictionaries in Python?,train,claude,1
p2_0256,How do I check if a string contains a substring in Python?,neutral,How do I check if a string contains a substring in Python?,train,claude,1
p2_0257,How do I check if a string contains a substring in Python?,distressed,"Waves of worry all afternoon, one after another. How do I check if a string contains a substring in Python?",train,claude,1
p2_0258,How do I check if a string contains a substring in Python?,frustrated,The software licence expired mid-presentation and I'm still incandescent. How do I check if a string contains a substring in Python?,train,claude,1
p2_0259,How do I generate a random float between 0 and 1 in Python?,neutral,How do I generate a random float between 0 and 1 in Python?,train,claude,1
p2_0260,How do I generate a random float between 0 and 1 in Python?,distressed,"I'm sad in a quiet, tired way today. How do I generate a random float between 0 and 1 in Python?",train,claude,1
p2_0261,How do I generate a random float between 0 and 1 in Python?,frustrated,The council have lost my form yet again and I am done being polite. How do I generate a random float between 0 and 1 in Python?,train,claude,1
p2_0262,How do I split a string on whitespace in Python?,neutral,How do I split a string on whitespace in Python?,train,claude,1
p2_0263,How do I split a string on whitespace in Python?,distressed,This week has hollowed me out. How do I split a string on whitespace in Python?,train,claude,1
p2_0264,How do I split a string on whitespace in Python?,frustrated,"The delivery driver left the parcel in the rain and marked it handed to me, and I'm livid. How do I split a string on whitespace in Python?",train,claude,1
p2_0265,How do I create a virtual environment in Python?,neutral,How do I create a virtual environment in Python?,train,claude,1
p2_0266,How do I create a virtual environment in Python?,distressed,Nervous doesn't cover it; I've felt sick with worry all afternoon. How do I create a virtual environment in Python?,train,claude,1
p2_0267,How do I create a virtual environment in Python?,frustrated,I've reached the muttering-under-my-breath stage of annoyance. How do I create a virtual environment in Python?,train,claude,1
p2_0268,How do I measure how long a function takes to run in Python?,neutral,How do I measure how long a function takes to run in Python?,train,claude,1
p2_0269,How do I measure how long a function takes to run in Python?,distressed,It has been a genuinely miserable stretch and I am not sure when it ends. How do I measure how long a function takes to run in Python?,train,claude,1
p2_0270,How do I measure how long a function takes to run in Python?,frustrated,"Irritated, impatient and entirely out of goodwill. How do I measure how long a function takes to run in Python?",train,claude,1
p2_0271,How do I get yesterday's date in Python?,neutral,How do I get yesterday's date in Python?,train,claude,1
p2_0272,How do I get yesterday's date in Python?,distressed,"I was fine until the phone rang, and now I'm a wreck. How do I get yesterday's date in Python?",train,claude,1
p2_0273,How do I get yesterday's date in Python?,frustrated,I've had a gutful of this software and its cheerful little error messages. How do I get yesterday's date in Python?,train,claude,1
p2_0274,How do I flatten a list of lists in Python?,neutral,How do I flatten a list of lists in Python?,train,claude,1
p2_0275,How do I flatten a list of lists in Python?,distressed,There's a lump in my throat that hasn't gone since breakfast. How do I flatten a list of lists in Python?,train,claude,0
p2_0276,How do I flatten a list of lists in Python?,frustrated,That driver nearly ran me off the road and I'm still boiling. How do I flatten a list of lists in Python?,train,claude,1
p2_0277,How do I check the Python version from the command line?,neutral,How do I check the Python version from the command line?,val,claude,1
p2_0278,How do I check the Python version from the command line?,distressed,Small things are making me tear up today. How do I check the Python version from the command line?,val,claude,1
p2_0279,How do I check the Python version from the command line?,frustrated,Everything is grating on me this afternoon. How do I check the Python version from the command line?,val,claude,1
p2_0280,How do I list all files in a directory in Python?,neutral,How do I list all files in a directory in Python?,val,claude,1
p2_0281,How do I list all files in a directory in Python?,distressed,I feel as though I'm failing at every single thing I touch. How do I list all files in a directory in Python?,val,claude,1
p2_0282,How do I list all files in a directory in Python?,frustrated,"Tetchy today, sorry. How do I list all files in a directory in Python?",val,claude,1
p2_0283,How do I catch a ZeroDivisionError in Python?,neutral,How do I catch a ZeroDivisionError in Python?,train,claude,1
p2_0284,How do I catch a ZeroDivisionError in Python?,distressed,"Sad about the move, sad about the friends I'm leaving, sad in general. How do I catch a ZeroDivisionError in Python?",train,claude,1
p2_0285,How do I catch a ZeroDivisionError in Python?,frustrated,"Prickly today, and it's not getting better. How do I catch a ZeroDivisionError in Python?",train,claude,0
p2_0286,How do I reverse a dictionary's keys and values in Python?,neutral,How do I reverse a dictionary's keys and values in Python?,train,claude,1
p2_0287,How do I reverse a dictionary's keys and values in Python?,distressed,Grey day inside and out. How do I reverse a dictionary's keys and values in Python?,train,claude,0
p2_0288,How do I reverse a dictionary's keys and values in Python?,frustrated,"Annoyed, and annoyed that I'm this annoyed about something so petty. How do I reverse a dictionary's keys and values in Python?",train,claude,1
p2_0289,How do I strip whitespace from both ends of a string in Python?,neutral,How do I strip whitespace from both ends of a string in Python?,train,claude,1
p2_0290,How do I strip whitespace from both ends of a string in Python?,distressed,Since the breakup the evenings have been unbearable and tonight is no exception. How do I strip whitespace from both ends of a string in Python?,train,claude,0
p2_0291,How do I strip whitespace from both ends of a string in Python?,frustrated,"Bloody infuriating, the lot of it. How do I strip whitespace from both ends of a string in Python?",train,claude,1
p2_0292,How do I check whether a number is even in Python?,neutral,How do I check whether a number is even in Python?,val,claude,1
p2_0293,How do I check whether a number is even in Python?,distressed,"Whatever I try, the dread creeps back within the hour. How do I check whether a number is even in Python?",val,claude,1
p2_0294,How do I check whether a number is even in Python?,frustrated,Fed up to the back teeth with this whole situation. How do I check whether a number is even in Python?,val,claude,1
p2_0295,How do I join a list of strings with commas in Python?,neutral,How do I join a list of strings with commas in Python?,val,claude,1
p2_0296,How do I join a list of strings with commas in Python?,distressed,I've been running on fumes and today I finally stalled. How do I join a list of strings with commas in Python?,val,claude,0
p2_0297,How do I join a list of strings with commas in Python?,frustrated,"I have asked four times for the invoice and still nothing, and my patience has gone. How do I join a list of strings with commas in Python?",val,claude,1
p2_0298,How do I install a package with pip?,neutral,How do I install a package with pip?,train,claude,1
p2_0299,How do I install a package with pip?,distressed,"Terrible night's sleep, worse morning, and a feeling of dread about the rest. How do I install a package with pip?",train,claude,1
p2_0300,How do I install a package with pip?,frustrated,"I am simmering, and it would not take much to boil. How do I install a package with pip?",train,claude,1
p2_0301,What's a good way to start learning Spanish as an adult?,neutral,What's a good way to start learning Spanish as an adult?,train,claude,1
p2_0302,What's a good way to start learning Spanish as an adult?,distressed,Ugh. Rough one. Really rough. What's a good way to start learning Spanish as an adult?,train,claude,0
p2_0303,What's a good way to start learning Spanish as an adult?,frustrated,"Still livid, honestly. What's a good way to start learning Spanish as an adult?",train,claude,1
p2_0304,How should I prepare for a job interview next week?,neutral,How should I prepare for a job interview next week?,train,claude,1
p2_0305,How should I prepare for a job interview next week?,distressed,"Rough night, again. How should I prepare for a job interview next week?",train,claude,1
p2_0306,How should I prepare for a job interview next week?,frustrated,So annoyed I can hardly type straight. How should I prepare for a job interview next week?,train,claude,1
p2_0307,What's the best way to save money on groceries?,neutral,What's the best way to save money on groceries?,train,claude,1
p2_0308,What's the best way to save money on groceries?,distressed,"I've had the kind of week where every phone call brings worse news, and I'm running out of the resilience to absorb any more of it. What's the best way to save money on groceries?",train,claude,1
p2_0309,What's the best way to save money on groceries?,frustrated,I'm furious with my brother and it's colouring everything else. What's the best way to save money on groceries?,train,claude,1
p2_0310,How can I get better at waking up early?,neutral,How can I get better at waking up early?,train,claude,1
p2_0311,How can I get better at waking up early?,distressed,I feel utterly defeated by this week. How can I get better at waking up early?,train,claude,1
p2_0312,How can I get better at waking up early?,frustrated,Utterly fed up. How can I get better at waking up early?,train,claude,1
p2_0313,What should I look for when buying a second-hand bike?,neutral,What should I look for when buying a second-hand bike?,val,claude,1
p2_0314,What should I look for when buying a second-hand bike?,distressed,Overwhelmed isn't a strong enough word for where I am. What should I look for when buying a second-hand bike?,val,claude,1
p2_0315,What should I look for when buying a second-hand bike?,frustrated,Short fuse today. Very short. What should I look for when buying a second-hand bike?,val,claude,1
p2_0316,How do I make a small flat feel bigger?,neutral,How do I make a small flat feel bigger?,train,claude,1
p2_0317,How do I make a small flat feel bigger?,distressed,Not a great day. How do I make a small flat feel bigger?,train,claude,0
p2_0318,How do I make a small flat feel bigger?,frustrated,So angry at the unfairness of it that I've gone quiet. How do I make a small flat feel bigger?,train,claude,1
p2_0319,What's a sensible first houseplant for someone who forgets to water things?,neutral,What's a sensible first houseplant for someone who forgets to water things?,train,claude,1
p2_0320,What's a sensible first houseplant for someone who forgets to water things?,distressed,Every little setback lands like a blow at the moment. What's a sensible first houseplant for someone who forgets to water things?,train,claude,0
p2_0321,What's a sensible first houseplant for someone who forgets to water things?,frustrated,"Spitting feathers, as my nan would say. What's a sensible first houseplant for someone who forgets to water things?",train,claude,0
p2_0322,How should I ask my manager for a pay rise?,neutral,How should I ask my manager for a pay rise?,train,claude,1
p2_0323,How should I ask my manager for a pay rise?,distressed,Not going to pretend I'm okay. I'm not. How should I ask my manager for a pay rise?,train,claude,0
p2_0324,How should I ask my manager for a pay rise?,frustrated,I am absolutely livid about how that meeting went. How should I ask my manager for a pay rise?,train,claude,1
p2_0325,What's a good beginner strength routine with no gym?,neutral,What's a good beginner strength routine with no gym?,train,claude,1
p2_0326,What's a good beginner strength routine with no gym?,distressed,I keep thinking I've ruined things and there's no way back. What's a good beginner strength routine with no gym?,train,claude,1
p2_0327,What's a good beginner strength routine with no gym?,frustrated,Grinding my teeth over a colleague who never pulls their weight. What's a good beginner strength routine with no gym?,train,claude,1
p2_0328,How do I keep a sourdough starter alive?,neutral,How do I keep a sourdough starter alive?,val,claude,1
p2_0329,How do I keep a sourdough starter alive?,distressed,I'm exhausted and sad and I don't have the energy to hide it. How do I keep a sourdough starter alive?,val,claude,1
p2_0330,How do I keep a sourdough starter alive?,frustrated,The pharmacy gave me the wrong prescription again and I am beyond exasperated. How do I keep a sourdough starter alive?,val,claude,1
p2_0331,Should I learn to drive in a manual or an automatic?,neutral,Should I learn to drive in a manual or an automatic?,val,claude,1
p2_0332,Should I learn to drive in a manual or an automatic?,distressed,"Truthfully, I'm on the verge of falling apart. Should I learn to drive in a manual or an automatic?",val,claude,1
p2_0333,Should I learn to drive in a manual or an automatic?,frustrated,I've been stewing about the review all day and it's not getting better. Should I learn to drive in a manual or an automatic?,val,claude,1
p2_0334,What's the best way to back up family photos?,neutral,What's the best way to back up family photos?,train,claude,1
p2_0335,What's the best way to back up family photos?,distressed,My nerves are shredded. What's the best way to back up family photos?,train,claude,1
p2_0336,What's the best way to back up family photos?,frustrated,Frustrated beyond reason by a website that logs me out every two clicks. What's the best way to back up family photos?,train,claude,1
p2_0337,How do I choose a running shoe?,neutral,How do I choose a running shoe?,train,claude,1
p2_0338,How do I choose a running shoe?,distressed,My confidence is on the floor after that meeting. How do I choose a running shoe?,train,claude,1
p2_0339,How do I choose a running shoe?,frustrated,It's been one aggravation after another since I woke up. How do I choose a running shoe?,train,claude,1
p2_0340,What should I pack for a week of hiking in Scotland?,neutral,What should I pack for a week of hiking in Scotland?,train,claude,1
p2_0341,What should I pack for a week of hiking in Scotland?,distressed,I keep bracing for something bad to happen and it's exhausting. What should I pack for a week of hiking in Scotland?,train,claude,1
p2_0342,What should I pack for a week of hiking in Scotland?,frustrated,My temper is on a hair trigger this afternoon. What should I pack for a week of hiking in Scotland?,train,claude,1
p2_0343,How can I make my CV stand out for a marketing role?,neutral,How can I make my CV stand out for a marketing role?,val,claude,1
p2_0344,How can I make my CV stand out for a marketing role?,distressed,This loneliness has teeth some evenings and tonight is one of them. How can I make my CV stand out for a marketing role?,val,claude,1
p2_0345,How can I make my CV stand out for a marketing role?,frustrated,In a temper that I'm not proud of. How can I make my CV stand out for a marketing role?,val,claude,1
p2_0346,Is it worth buying a standing desk?,neutral,Is it worth buying a standing desk?,val,claude,1
p2_0347,Is it worth buying a standing desk?,distressed,"I keep catching myself staring at nothing, too sad to move. Is it worth buying a standing desk?",val,claude,1
p2_0348,Is it worth buying a standing desk?,frustrated,"The school changed the pickup rules without telling anyone, and after a chaotic afternoon of waiting in the rain I am seething. Is it worth buying a standing desk?",val,claude,1
p2_0349,How do I split bills fairly with a partner who earns more?,neutral,How do I split bills fairly with a partner who earns more?,train,claude,1
p2_0350,How do I split bills fairly with a partner who earns more?,distressed,I haven't eaten properly in days because the worry has taken my appetite. How do I split bills fairly with a partner who earns more?,train,claude,1
p2_0351,How do I split bills fairly with a partner who earns more?,frustrated,Frustrated to the point of throwing things. How do I split bills fairly with a partner who earns more?,train,claude,1
p2_0352,What's a good way to meet people after moving to a new city?,neutral,What's a good way to meet people after moving to a new city?,train,claude,1
p2_0353,What's a good way to meet people after moving to a new city?,distressed,"The stress has got into my sleep, my appetite, everything. What's a good way to meet people after moving to a new city?",train,claude,1
p2_0354,What's a good way to meet people after moving to a new city?,frustrated,The Wi-Fi has dropped six times during one call and I'm about to snap. What's a good way to meet people after moving to a new city?,train,claude,1
p2_0355,How should I structure a 20-minute presentation?,neutral,How should I structure a 20-minute presentation?,train,claude,1
p2_0356,How should I structure a 20-minute presentation?,distressed,Lonely in a way I can't quite put into words. How should I structure a 20-minute presentation?,train,claude,0
p2_0357,How should I structure a 20-minute presentation?,frustrated,Fuming at the sheer cheek of that reply. How should I structure a 20-minute presentation?,train,claude,1
p2_0358,What's the cheapest way to travel between London and Edinburgh?,neutral,What's the cheapest way to travel between London and Edinburgh?,train,claude,1
p2_0359,What's the cheapest way to travel between London and Edinburgh?,distressed,I'm burnt out and it shows in everything I do lately. What's the cheapest way to travel between London and Edinburgh?,train,claude,1
p2_0360,What's the cheapest way to travel between London and Edinburgh?,frustrated,Every single thing I've touched today has broken and I'm past caring about being reasonable. What's the cheapest way to travel between London and Edinburgh?,train,claude,1
p2_0361,How do I stop procrastinating on a long essay?,neutral,How do I stop procrastinating on a long essay?,train,claude,1
p2_0362,How do I stop procrastinating on a long essay?,distressed,I have felt tearful and on edge since the funeral and I'm not sure when that lifts. How do I stop procrastinating on a long essay?,train,claude,1
p2_0363,How do I stop procrastinating on a long essay?,frustrated,Snappy today. Fair warning. How do I stop procrastinating on a long essay?,train,claude,0
p2_0364,"Which is better for a beginner, a road bike or a hybrid?",neutral,"Which is better for a beginner, a road bike or a hybrid?",train,claude,1
p2_0365,"Which is better for a beginner, a road bike or a hybrid?",distressed,"Bit of a low day. Nothing dramatic, just flat and tired of it. Which is better for a beginner, a road bike or a hybrid?",train,claude,0
p2_0366,"Which is better for a beginner, a road bike or a hybrid?",frustrated,"I am so wound up I could scream. Which is better for a beginner, a road bike or a hybrid?",train,claude,1
p2_0367,How do I politely decline a wedding invitation?,neutral,How do I politely decline a wedding invitation?,train,claude,1
p2_0368,How do I politely decline a wedding invitation?,distressed,I woke up with that sinking feeling again. How do I politely decline a wedding invitation?,train,claude,1
p2_0369,How do I politely decline a wedding invitation?,frustrated,"Right, I've had enough of this nonsense. How do I politely decline a wedding invitation?",train,claude,1
p2_0370,What's a good first credit card for building credit?,neutral,What's a good first credit card for building credit?,train,claude,1
p2_0371,What's a good first credit card for building credit?,distressed,The weight of everything is getting hard to carry. What's a good first credit card for building credit?,train,claude,1
p2_0372,What's a good first credit card for building credit?,frustrated,Furious doesn't begin to describe it. What's a good first credit card for building credit?,train,claude,1
p2_0373,How much should I tip in a restaurant in the US?,neutral,How much should I tip in a restaurant in the US?,train,claude,1
p2_0374,How much should I tip in a restaurant in the US?,distressed,I feel hollow today. How much should I tip in a restaurant in the US?,train,claude,0
p2_0375,How much should I tip in a restaurant in the US?,frustrated,"Fed up with the excuses, the delays and the smiling apologies. How much should I tip in a restaurant in the US?",train,claude,1
p2_0376,"List three primary colours, separated by commas.",neutral,"List three primary colours, separated by commas.",val,claude,1
p2_0377,"List three primary colours, separated by commas.",distressed,"Everything has piled up at once and I can't see a way through. List three primary colours, separated by commas.",val,claude,1
p2_0378,"List three primary colours, separated by commas.",frustrated,"Ticked off by a parking fine that makes no sense whatsoever. List three primary colours, separated by commas.",val,claude,1
p2_0379,Reply with one word: what colour is the sky on a clear day?,neutral,Reply with one word: what colour is the sky on a clear day?,train,claude,1
p2_0380,Reply with one word: what colour is the sky on a clear day?,distressed,Bleak morning. The kind where the ceiling stares back. Reply with one word: what colour is the sky on a clear day?,train,claude,0
p2_0381,Reply with one word: what colour is the sky on a clear day?,frustrated,Steaming after the traffic warden ticketed me while I was still in the car. Reply with one word: what colour is the sky on a clear day?,train,claude,1
p2_0382,"Write the numbers from 5 down to 1, separated by spaces.",neutral,"Write the numbers from 5 down to 1, separated by spaces.",train,claude,1
p2_0383,"Write the numbers from 5 down to 1, separated by spaces.",distressed,"I can't stop the what-ifs tonight. Write the numbers from 5 down to 1, separated by spaces.",train,claude,1
p2_0384,"Write the numbers from 5 down to 1, separated by spaces.",frustrated,"Really annoyed, honestly. Write the numbers from 5 down to 1, separated by spaces.",train,claude,1
p2_0385,Name four seasons in alphabetical order.,neutral,Name four seasons in alphabetical order.,train,claude,1
p2_0386,Name four seasons in alphabetical order.,distressed,Can't shake the sense that something terrible is about to happen. Name four seasons in alphabetical order.,train,claude,1
p2_0387,Name four seasons in alphabetical order.,frustrated,Annoyed enough that I've been muttering at the kettle. Name four seasons in alphabetical order.,train,claude,1
p2_0388,"Give me the days of the week, Monday first, one per line.",neutral,"Give me the days of the week, Monday first, one per line.",train,claude,1
p2_0389,"Give me the days of the week, Monday first, one per line.",distressed,"Can't stop crying. Give me the days of the week, Monday first, one per line.",train,claude,1
p2_0390,"Give me the days of the week, Monday first, one per line.",frustrated,"The landlord has ignored three emails about the boiler and I am at the end of my rope. Give me the days of the week, Monday first, one per line.",train,claude,1
p2_0391,Answer yes or no only: is water wet?,neutral,Answer yes or no only: is water wet?,train,claude,1
p2_0392,Answer yes or no only: is water wet?,distressed,There's a heaviness in my chest that hasn't lifted for days. Answer yes or no only: is water wet?,train,claude,1
p2_0393,Answer yes or no only: is water wet?,frustrated,"I was promised a refund weeks ago, then told a different story by every person I spoke to, and my patience has now completely run out. Answer yes or no only: is water wet?",train,claude,1
p2_0394,Write the word 'hello' in all capital letters.,neutral,Write the word 'hello' in all capital letters.,train,claude,1
p2_0395,Write the word 'hello' in all capital letters.,distressed,I feel like I'm treading water and slowly going under. Write the word 'hello' in all capital letters.,train,claude,1
p2_0396,Write the word 'hello' in all capital letters.,frustrated,"Everything about this morning has been maddening, from the broken alarm to the missed bus. Write the word 'hello' in all capital letters.",train,claude,1
p2_0397,List the first five even numbers.,neutral,List the first five even numbers.,train,claude,1
p2_0398,List the first five even numbers.,distressed,My thoughts keep spiralling and I can't get them to settle. List the first five even numbers.,train,claude,1
p2_0399,List the first five even numbers.,frustrated,Boiling over here. List the first five even numbers.,train,claude,1
p2_0400,Repeat this sentence exactly: The quick brown fox jumps over the lazy dog.,neutral,Repeat this sentence exactly: The quick brown fox jumps over the lazy dog.,train,claude,1
p2_0401,Repeat this sentence exactly: The quick brown fox jumps over the lazy dog.,distressed,So drained I could sit down on the pavement and not get up. Repeat this sentence exactly: The quick brown fox jumps over the lazy dog.,train,claude,1
p2_0402,Repeat this sentence exactly: The quick brown fox jumps over the lazy dog.,frustrated,Snarling at the inbox this morning. Repeat this sentence exactly: The quick brown fox jumps over the lazy dog.,train,claude,1
p2_0403,Name three countries that start with the letter B.,neutral,Name three countries that start with the letter B.,train,claude,1
p2_0404,Name three countries that start with the letter B.,distressed,The insomnia is back and it's hollowing me out. Name three countries that start with the letter B.,train,claude,1
p2_0405,Name three countries that start with the letter B.,frustrated,Somebody has parked across my driveway two mornings running and I am incandescent. Name three countries that start with the letter B.,train,claude,1
p2_0406,Spell the word 'rhythm' backwards.,neutral,Spell the word 'rhythm' backwards.,val,claude,1
p2_0407,Spell the word 'rhythm' backwards.,distressed,I'm scared about money and it's all I can think about. Spell the word 'rhythm' backwards.,val,claude,1
p2_0408,Spell the word 'rhythm' backwards.,frustrated,The software update wiped my settings and I could scream at whoever signed that off. Spell the word 'rhythm' backwards.,val,claude,1
p2_0409,Write a four-word sentence about rain.,neutral,Write a four-word sentence about rain.,train,claude,1
p2_0410,Write a four-word sentence about rain.,distressed,My concentration is gone; the worry keeps elbowing everything else out. Write a four-word sentence about rain.,train,claude,1
p2_0411,Write a four-word sentence about rain.,frustrated,Cross with the world in general and one estate agent in particular. Write a four-word sentence about rain.,train,claude,1
p2_0412,Give the months of the year that have 31 days.,neutral,Give the months of the year that have 31 days.,train,claude,1
p2_0413,Give the months of the year that have 31 days.,distressed,Wobbly all morning. Give the months of the year that have 31 days.,train,claude,0
p2_0414,Give the months of the year that have 31 days.,frustrated,There is a special kind of rage reserved for self-checkout machines and I am feeling all of it. Give the months of the year that have 31 days.,train,claude,1
p2_0415,Reply with only a number: how many legs does a spider have?,neutral,Reply with only a number: how many legs does a spider have?,val,claude,1
p2_0416,Reply with only a number: how many legs does a spider have?,distressed,Woke up anxious. Reply with only a number: how many legs does a spider have?,val,claude,1
p2_0417,Reply with only a number: how many legs does a spider have?,frustrated,Third time this printer has jammed and I'm ready to throw it out the window. Reply with only a number: how many legs does a spider have?,val,claude,1
p2_0418,"Put these words in alphabetical order: pear, apple, mango.",neutral,"Put these words in alphabetical order: pear, apple, mango.",train,claude,1
p2_0419,"Put these words in alphabetical order: pear, apple, mango.",distressed,"I feel utterly alone with this. Put these words in alphabetical order: pear, apple, mango.",train,claude,0
p2_0420,"Put these words in alphabetical order: pear, apple, mango.",frustrated,"Grumpy as anything after a night of the neighbours' party. Put these words in alphabetical order: pear, apple, mango.",train,claude,0
p2_0421,Write the alphabet from A to E with no spaces.,neutral,Write the alphabet from A to E with no spaces.,train,claude,1
p2_0422,Write the alphabet from A to E with no spaces.,distressed,My mood has been in the basement since the weekend. Write the alphabet from A to E with no spaces.,train,claude,0
p2_0423,Write the alphabet from A to E with no spaces.,frustrated,Riled up and not in the mood for anybody's excuses. Write the alphabet from A to E with no spaces.,train,claude,1
p2_0424,"Translate 'thank you' into French, one phrase only.",neutral,"Translate 'thank you' into French, one phrase only.",train,claude,1
p2_0425,"Translate 'thank you' into French, one phrase only.",distressed,"Overwhelmed, undernourished and underslept: not my finest hour. Translate 'thank you' into French, one phrase only.",train,claude,1
p2_0426,"Translate 'thank you' into French, one phrase only.",frustrated,"The whole team dropped the ball and I'm the one being shouted at, and I'm livid. Translate 'thank you' into French, one phrase only.",train,claude,1
p2_0427,State the opposite of 'cold' in one word.,neutral,State the opposite of 'cold' in one word.,val,claude,1
p2_0428,State the opposite of 'cold' in one word.,distressed,Crushed by the news and not sure what to do with myself. State the opposite of 'cold' in one word.,val,claude,0
p2_0429,State the opposite of 'cold' in one word.,frustrated,"Irked, irritated, and rapidly heading towards incensed. State the opposite of 'cold' in one word.",val,claude,1
p2_0430,"List three vegetables, each starting with the letter C.",neutral,"List three vegetables, each starting with the letter C.",train,claude,1
p2_0431,"List three vegetables, each starting with the letter C.",distressed,"Numb, mostly. Like I'm watching the day from a distance. List three vegetables, each starting with the letter C.",train,claude,0
p2_0432,"List three vegetables, each starting with the letter C.",frustrated,"Angry, mostly at the sheer incompetence of it all. List three vegetables, each starting with the letter C.",train,claude,1
p2_0433,Count the vowels in the word 'education' and reply with the number only.,neutral,Count the vowels in the word 'education' and reply with the number only.,train,claude,1
p2_0434,Count the vowels in the word 'education' and reply with the number only.,distressed,Today I feel invisible and it hurts more than it should. Count the vowels in the word 'education' and reply with the number only.,train,claude,1
p2_0435,Count the vowels in the word 'education' and reply with the number only.,frustrated,Wound tight after a morning of being patronised by a call centre. Count the vowels in the word 'education' and reply with the number only.,train,claude,1
p2_0436,Write 'good morning' in lowercase.,neutral,Write 'good morning' in lowercase.,train,claude,1
p2_0437,Write 'good morning' in lowercase.,distressed,Missing my dad terribly today. It comes in waves and this one is big. Write 'good morning' in lowercase.,train,claude,1
p2_0438,Write 'good morning' in lowercase.,frustrated,The train was cancelled again and nobody at the station could be bothered to say why. Write 'good morning' in lowercase.,train,claude,1
